code,name,score,grade,price,volatility,amplitude,drawdown,position_pct,step_pct,reasons
159008.SZ,景顺长城中证全指证券公司ETF,85,S,0.988,1.7,18.09,10.43,32.0,4.0,波动率1.7%适中，网格可频繁触发 | 区间振幅18.09%适中，有网格空间 | 最大回撤10.43%可控 | 流动性一般，大额进出注意冲击 | 震荡特征明显(8次穿越MA60) | 当前位于区间中部(32.0%)，网格对称性好
512000.SH,华宝中证全指证券公司ETF,85,S,0.506,1.62,18.24,10.28,33.3,4.0,波动率1.62%适中，网格可频繁触发 | 区间振幅18.24%适中，有网格空间 | 最大回撤10.28%可控 | 流动性一般，大额进出注意冲击 | 震荡特征明显(8次穿越MA60) | 当前位于区间中部(33.3%)，网格对称性好
512570.SH,易方达中证全指证券公司ETF,85,S,1.064,1.67,18.17,10.59,31.1,4.0,波动率1.67%适中，网格可频繁触发 | 区间振幅18.17%适中，有网格空间 | 最大回撤10.59%可控 | 流动性一般，大额进出注意冲击 | 震荡特征明显(8次穿越MA60) | 当前位于区间中部(31.1%)，网格对称性好
512900.SH,南方中证全指证券公司ETF,85,S,1.048,1.59,17.46,9.97,32.9,4.0,波动率1.59%适中，网格可频繁触发 | 区间振幅17.46%适中，有网格空间 | 最大回撤9.97%可控 | 流动性一般，大额进出注意冲击 | 震荡特征明显(8次穿越MA60) | 当前位于区间中部(32.9%)，网格对称性好
513300.SH,华夏纳斯达克100ETF(QDII),85,S,2.661,1.65,27.84,13.23,67.3,4.0,波动率1.65%适中，网格可频繁触发 | 区间振幅27.84%适中，有网格空间 | 最大回撤13.23%可控 | 流动性一般，大额进出注意冲击 | 震荡特征明显(10次穿越MA60) | 当前位于区间中部(67.3%)，网格对称性好
502010.SH,易方达中证全指证券公司指数(LOF)-A,85,S,1.227,1.48,15.31,8.98,32.4,,波动率1.48%偏低，网格触发慢 | 区间振幅15.31%适中，有网格空间 | 最大回撤8.98%可控 | 流动性一般，大额进出注意冲击 | 震荡特征明显(10次穿越MA60) | 当前位于区间中部(32.4%)，网格对称性好
515560.SH,建信中证全指证券公司ETF,85,S,0.971,1.55,17.34,9.76,34.0,4.0,波动率1.55%适中，网格可频繁触发 | 区间振幅17.34%适中，有网格空间 | 最大回撤9.76%可控 | 流动性一般，大额进出注意冲击 | 震荡特征明显(8次穿越MA60) | 当前位于区间中部(34.0%)，网格对称性好
159100.SZ,华夏布拉德斯科巴西伊博维斯帕ETF(QDII),85,S,1.185,1.49,27.1,21.32,52.7,,波动率1.49%偏低，网格触发慢 | 区间振幅27.1%适中，有网格空间 | 最大回撤21.32%可控 | 流动性一般，大额进出注意冲击 | 震荡特征明显(9次穿越MA60) | 当前位于区间中部(52.7%)，网格对称性好
160722.SZ,嘉实惠泽灵活配置混合(LOF),85,S,2.244,2.11,30.37,12.89,62.3,4.0,波动率2.11%适中，网格可频繁触发 | 区间振幅30.37%适中，有网格空间 | 最大回撤12.89%可控 | 流动性一般，大额进出注意冲击 | 震荡特征明显(10次穿越MA60) | 当前位于区间中部(62.3%)，网格对称性好
160642.SZ,鹏华增瑞灵活配置混合(LOF)-A,85,S,2.508,2.88,47.86,26.05,46.2,3.0,波动率2.88%适中，网格可频繁触发 | 区间振幅47.86%适中，有网格空间 | 最大回撤26.05%可控 | 流动性一般，大额进出注意冲击 | 震荡特征明显(12次穿越MA60) | 当前位于区间中部(46.2%)，网格对称性好
501311.SH,嘉实恒生港股通新经济指数(LOF)-A,85,S,0.9,1.58,23.89,19.29,31.5,4.0,波动率1.58%适中，网格可频繁触发 | 区间振幅23.89%适中，有网格空间 | 最大回撤19.29%可控 | 流动性一般，大额进出注意冲击 | 震荡特征明显(10次穿越MA60) | 当前位于区间中部(31.5%)，网格对称性好
167001.SZ,平安鼎泰灵活配置混合(LOF),85,S,1.865,1.91,19.91,10.64,46.2,4.0,波动率1.91%适中，网格可频繁触发 | 区间振幅19.91%适中，有网格空间 | 最大回撤10.64%可控 | 流动性一般，大额进出注意冲击 | 震荡特征明显(12次穿越MA60) | 当前位于区间中部(46.2%)，网格对称性好
512880.SH,国泰中证全指证券公司ETF,85,S,1.058,1.62,17.48,10.03,32.6,4.0,波动率1.62%适中，网格可频繁触发 | 区间振幅17.48%适中，有网格空间 | 最大回撤10.03%可控 | 流动性一般，大额进出注意冲击 | 震荡特征明显(8次穿越MA60) | 当前位于区间中部(32.6%)，网格对称性好
159944.SZ,广发中证全指原材料ETF,85,S,1.452,2.19,28.96,22.46,34.8,4.0,波动率2.19%适中，网格可频繁触发 | 区间振幅28.96%适中，有网格空间 | 最大回撤22.46%可控 | 流动性一般，大额进出注意冲击 | 震荡特征明显(10次穿越MA60) | 当前位于区间中部(34.8%)，网格对称性好
159260.SZ,博时中证全指证券公司ETF,85,S,0.838,1.62,18.65,10.37,34.0,4.0,波动率1.62%适中，网格可频繁触发 | 区间振幅18.65%适中，有网格空间 | 最大回撤10.37%可控 | 流动性一般，大额进出注意冲击 | 震荡特征明显(8次穿越MA60) | 当前位于区间中部(34.0%)，网格对称性好
